"Stranišèe na izplakovanje za lastno uporabo";"Starost 0-17";"Moški";0.9;0.5;4.3;0.7;0.4;3.1;0.8;0.1;6.0;0.4;0.2;1.9;0.3;0.0;2.2;0.2;0.1;1.1;0.3;0.0;2.1;0.2;0.1;0.9;0.3;0.1;1.6;0.5;0.3;2.0;0.4;0.0;2.6;0.1;0.1;0.5
"Stranišèe na izplakovanje za lastno uporabo";"Starost 0-17";"Ženske";1.3;0.5;6.6;1.0;0.5;4.8;1.0;0.2;7.1;0.3;0.1;1.7;0.3;0.0;2.3;0.2;0.0;1.6;0.4;0.2;1.4;0.1;0.1;0.2;0.3;0.1;1.5;0.4;0.2;1.9;0.2;0.0;1.6;0.1;0.1;0.7
"Stranišèe na izplakovanje za lastno uporabo";"Starost 18-64";"Spol - SKUPAJ";1.6;1.0;6.9;1.0;0.6;4.4;0.9;0.5;4.4;0.7;0.4;3.6;0.5;0.2;3.2;0.4;0.1;2.5;0.3;0.1;1.5;0.3;0.1;1.3;0.3;0.1;1.7;0.4;0.2;1.9;0.3;0.2;0.8;0.3;0.1;1.7
"Stranišèe na izplakovanje za lastno uporabo";"Starost 18-64";"Moški";2.0;1.2;8.3;1.1;0.7;5.2;1.2;0.7;6.0;1.0;0.5;5.5;0.7;0.3;4.1;0.5;0.2;3.1;0.4;0.2;1.7;0.4;0.1;2.0;0.4;0.2;2.3;0.6;0.2;2.8;0.4;0.3;1.0;0.5;0.1;2.8
"Stranišèe na izplakovanje za lastno uporabo";"Starost 18-64";"Ženske";1.2;0.8;5.4;0.8;0.5;3.5;0.6;0.4;2.9;0.4;0.3;1.5;0.3;0.2;2.2;0.3;0.1;1.9;0.3;0.1;1.3;0.1;0.1;0.6;0.2;0.1;1.0;0.3;0.2;0.8;0.2;0.1;0.6;0.1;0.1;0.7
"Stranišèe na izplakovanje za lastno uporabo";"Starost 65+";"Spol - SKUPAJ";3.0;1.6;8.2;2.7;1.1;9.0;2.0;0.8;7.2;1.9;0.6;6.7;1.3;0.5;4.4;0.8;0.1;3.3;1.3;0.3;4.9;1.5;0.3;6.2;1.1;0.3;4.4;1.2;0.4;5.0;0.6;0.2;2.5;0.7;0.3;2.5
"Stranišèe na izplakovanje za lastno uporabo";"Starost 65+";"Moški";2.4;1.8;7.4;2.4;1.3;10.1;1.5;1.0;5.5;1.2;0.4;7.3;0.8;0.4;3.8;1.0;0.2;8.5;1.6;0.3;12.3;1.7;0.4;12.0;1.4;0.3;8.8;1.4;0.2;10.8;0.5;0.1;4.6;0.6;0.5;1.5
"Stranišèe na izplakovanje za lastno uporabo";"Starost 65+";"Ženske";3.3;1.5;8.5;2.9;1.0;8.6;2.4;0.6;7.7;2.4;0.8;6.6;1.5;0.5;4.6;0.6;0.1;2.1;1.0;0.3;3.1;1.3;0.3;4.4;0.9;0.3;2.8;1.0;0.5;2.9;0.6;0.3;1.8;0.8;0.2;2.8
"Pretemno stanovanje";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";7.0;6.6;9.6;9.5;9.0;13.4;9.7;9.0;14.9;11.8;10.9;18.0;15.5;14.8;21.4;10.7;10.2;14.1;12.1;11.3;17.2;8.8;8.3;12.1;6.5;5.8;10.7;5.2;4.6;8.6;5.7;5.0;9.6;4.7;4.2;7.8
"Pretemno stanovanje";"Starostne skupine - SKUPAJ";"Moški";7.2;6.7;11.0;9.4;9.0;12.8;9.6;9.0;15.5;12.0;11.0;20.1;15.3;14.7;20.8;10.5;9.9;15.0;12.0;11.1;18.7;8.8;8.3;11.9;6.7;5.8;12.4;5.4;4.8;9.1;5.8;5.1;10.6;4.6;4.2;7.7
"Pretemno stanovanje";"Starostne skupine - SKUPAJ";"Ženske";6.8;6.5;8.5;9.7;9.1;13.9;9.7;9.0;14.4;11.6;10.9;16.4;15.7;14.8;21.9;10.9;10.5;13.4;12.2;11.5;16.0;8.8;8.2;12.2;6.4;5.9;9.3;4.9;4.4;8.1;5.5;4.9;8.7;4.8;4.2;7.9
"Pretemno stanovanje";"Starost 0-17";"Spol - SKUPAJ";6.5;6.2;9.0;9.0;8.6;11.6;10.1;9.4;15.3;11.2;10.9;13.8;14.7;14.0;20.4;11.0;10.4;15.4;12.0;10.7;19.6;8.3;7.8;11.9;6.3;5.8;9.3;5.0;4.3;8.5;5.8;4.9;11.8;4.0;3.9;5.0
"Pretemno stanovanje";"Starost 0-17";"Moški";6.4;6.0;9.0;8.6;8.5;8.8;10.2;9.3;17.3;11.7;11.2;15.7;13.8;13.5;16.3;10.4;10.1;12.9;12.2;11.1;18.6;8.2;7.7;11.0;6.4;5.6;10.9;5.7;5.1;8.9;5.9;5.0;11.8;4.0;4.1;3.6
"Pretemno stanovanje";"Starost 0-17";"Ženske";6.6;6.3;8.9;9.4;8.7;14.2;10.0;9.5;13.3;10.8;10.6;12.1;15.7;14.5;24.6;11.7;10.8;18.3;11.8;10.2;20.7;8.5;7.8;12.8;6.2;6.0;7.7;4.2;3.5;8.1;5.7;4.8;11.8;4.0;3.7;6.5
"Pretemno stanovanje";"Starost 18-64";"Spol - SKUPAJ";7.2;6.8;11.0;9.5;9.1;13.7;9.7;9.0;15.4;11.7;10.9;18.8;15.2;14.5;22.5;10.5;9.9;14.7;11.9;11.1;17.8;8.9;8.5;12.2;6.7;6.0;11.7;5.3;4.7;8.7;5.9;5.2;10.6;5.0;4.5;8.6
"Pretemno stanovanje";"Starost 18-64";"Moški";7.6;7.0;12.3;9.6;9.1;13.8;9.7;9.0;15.8;11.9;10.8;21.1;15.3;14.5;22.9;10.5;9.8;16.1;11.9;10.9;18.8;9.1;8.7;11.8;6.9;6.0;12.8;5.4;4.8;8.7;6.2;5.5;11.2;5.0;4.4;9.3
"Pretemno stanovanje";"Starost 18-64";"Ženske";6.8;6.4;9.6;9.5;9.0;13.6;9.6;9.1;14.9;11.5;11.0;16.2;15.2;14.5;22.1;10.5;10.1;13.2;12.0;11.4;16.7;8.8;8.2;12.6;6.6;6.0;10.4;5.2;4.6;8.7;5.6;4.9;10.0;5.0;4.6;8.0
"Pretemno stanovanje";"Starost 65+";"Spol - SKUPAJ";6.7;6.6;7.0;10.3;9.3;14.0;9.2;8.1;13.5;12.8;11.1;19.2;17.7;17.2;20.0;11.6;11.5;11.7;12.9;12.7;13.6;8.8;8.0;11.8;6.0;5.1;9.4;4.9;4.2;8.1;4.4;4.4;4.5;4.4;3.7;7.5
"Pretemno stanovanje";"Starost 65+";"Moški";6.2;6.0;7.5;9.5;8.9;13.6;8.5;8.2;11.2;13.0;11.9;21.4;17.8;17.8;18.4;11.0;10.9;12.3;12.2;11.6;17.7;8.0;7.3;13.6;5.9;4.9;12.4;5.0;4.2;12.1;3.6;3.4;5.1;3.8;3.7;4.8
"Pretemno stanovanje";"Starost 65+";"Ženske";7.0;7.1;6.9;10.7;9.6;14.2;9.6;8.1;14.1;12.7;10.5;18.6;17.7;16.7;20.5;11.9;12.1;11.6;13.3;13.6;12.6;9.3;8.6;11.2;6.1;5.3;8.3;4.8;4.3;6.7;5.0;5.2;4.3;4.8;3.7;8.5
